ens_tid,target_tfs_filename,before TSS,after TSS,tfs to plot,pval,pval_c
ENST00000379410,,915,-865,10,1,0.1
ENST00000379410,,235,-185,10,1,0.1
ENST00000433179,,165,-115,10,1,0.1
ENST00000341290,,-388,438,10,1,0.1
ENST00000649529,,-19,69,10,1,0.1
ENST00000649529,,-333,383,10,1,0.1
ENST00000649529,,-1023,1073,10,1,0.1
ENST00000651234,,-1856,1906,10,1,0.1
ENST00000379319,,304,-254,10,1,0.1
ENST00000379339,,-1486,1536,10,1,0.1
ENST00000379236,,1724,-1674,10,1,0.1
ENST00000330388,,-326,376,10,1,0.1
ENST00000400929,,1142,-1092,10,1,0.1
ENST00000400929,,1150,-1100,10,1,0.1
ENST00000470022,,72,-22,10,1,0.1
ENST00000379099,,463,-413,10,1,0.1
ENST00000353662,,-1011,1061,10,1,0.1
ENST00000354700,,-1756,1806,10,1,0.1
ENST00000354700,,-1539,1589,10,1,0.1
ENST00000354700,,-1070,1120,10,1,0.1
ENST00000378733,,2174,-2124,10,1,0.1
ENST00000469045,,-1530,1580,10,1,0.1
ENST00000469045,,-169,219,10,1,0.1
ENST00000342348,,-227,277,10,1,0.1
ENST00000610897,,1391,-1341,10,1,0.1
ENST00000378604,,-10,60,10,1,0.1
ENST00000307786,,-1385,1435,10,1,0.1
ENST00000310991,,1441,-1391,10,1,0.1
ENST00000310991,,2079,-2029,10,1,0.1
ENST00000642590,,-1596,1646,10,1,0.1
ENST00000642590,,937,-887,10,1,0.1
ENST00000642590,,2273,-2223,10,1,0.1
ENST00000378590,,491,-441,10,1,0.1
ENST00000378590,,1338,-1288,10,1,0.1
ENST00000682832,,-553,603,10,1,0.1
ENST00000640981,,1730,-1680,10,1,0.1
ENST00000638804,,-28,78,10,1,0.1
ENST00000638804,,-168,218,10,1,0.1
ENST00000638804,,-220,270,10,1,0.1
ENST00000503297,,-1149,1199,10,1,0.1
ENST00000461465,,44,6,10,1,0.1
ENST00000496325,,-1734,1784,10,1,0.1
ENST00000471018,,1938,-1888,10,1,0.1
ENST00000443438,,-243,293,10,1,0.1
ENST00000443438,,-258,308,10,1,0.1
ENST00000508384,,1271,-1221,10,1,0.1
ENST00000609981,,-31,81,10,1,0.1
ENST00000355716,,-561,611,10,1,0.1
ENST00000498083,,-1961,2011,10,1,0.1
ENST00000498083,,-2186,2236,10,1,0.1
ENST00000471840,,1573,-1523,10,1,0.1
ENST00000502556,,-1319,1369,10,1,0.1
ENST00000502556,,-5,55,10,1,0.1
ENST00000502556,,378,-328,10,1,0.1
ENST00000637179,,-1731,1781,10,1,0.1
